linenumber,fec_committee_id,transaction_id,entity_type,organization_name,last_name,first_name,middle_name,prefix,suffix,street_1,street_2,city,state,zip_code,election_code,date,amount,purpose,memo_code,memo_text,cycle
SB29,C00580100,SB29.4419,ORG,"KASOWITZ, BENSON, TORRES LLP",,,,,,1633 BROADWAY,,NEW YORK,NY,100196799,,2021-01-13,2500000.0,GENERAL: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4522,ORG,THEMIS GROUP LLC,,,,,,210 LAVACA STREET,,AUSTIN,TX,78701,,2021-02-05,750000.0,GENERAL: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.5084,ORG,"2M DOCUMENT MANAGEMENT AND IMAGING, LLC",,,,,,2140 S DUPONT HWY,,CAMDEN,DE,19934,,2021-03-30,650000.0,RECOUNT: RESEARCH CONSULTING,,,2022
SB29,C00580100,SB29.5122,ORG,DEPARTMENT OF TREASURY,,,,,,"1500 PENNSYLVANIA AVE, NW",,WASHINGTON,DC,20220,,2021-01-20,508298.95,GENERAL: TRAVEL: AIR,,,2022
SB29,C00580100,SB29.4978,ORG,"THE HILBERT LAW FIRM, LLC",,,,,,205 NORCROSS STREET,,ROSWELL,GA,30075,,2021-02-02,379715.73,RECOUNT: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.5147,ORG,"TRUE NORTH LAW, LLC",,,,,,112 S HANLEY ROAD SUITE 200,,ST LOUIS,MO,63105,,2021-01-07,272567.54,RECOUNT: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4358,ORG,BOWERS LAW OFFICE LLC,,,,,,POST OFFICE BOX 50549,,COLUMBIA,SC,29250,,2021-01-27,250000.0,GENERAL: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4938,ORG,"CONWAY, OLENJNICZAK & JERRY, S.C.",,,,,,PO BOX 23200,,GREEN BAY,WI,543053200,,2021-01-19,203986.34,RECOUNT: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4416,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,200012113,,2021-02-05,200003.49,GENERAL: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4428,ORG,LAW OFFICES OF MICHAEL T. VAN DER VEEN,,,,,,1219 SPRUCE STREET,,PHILADELPHIA,PA,19107,,2021-02-09,145577.49,GENERAL: LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4429,ORG,LAW OFFICES OF MICHAEL T. VAN DER VEEN,,,,,,1219 SPRUCE STREET,,PHILADELPHIA,PA,19107,,2021-02-12,131329.58,GENERAL: LEGAL CONSULTING,,,2022
SB21B,C00580100,SB21B.4414,ORG,JONES DAY,,,,,,51 LOUISIANA AVENUE NW,,WASHINGTON,DC,200012113,,2021-05-24,129686.45,LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.4337,ORG,21A LLC,,,,,,625 FIRST STREET,SUITE 110,ALEXANDRIA,VA,22314,,2021-02-25,129583.0,GENERAL: COMMUNICATIONS CONSULTING/VIDEO PRODUCTION SERVICES,,,2022
SB21B,C00580100,SB21B.4392,ORG,HARDER LLP,,,,,,132 S. RODEO DRIVE,FOURTH FLOOR,BEVERLY HILLS,CA,90212,,2021-04-14,114643.81,LEGAL CONSULTING,,,2022
SB29,C00580100,SB29.5133,ORG,"LOUD AND CLEAR, INC",,,,,,10310 JULIAN DR,,CINCINNATI,OH,45215,,2021-01-06,114417.34,GENERAL: AUDIO VISUAL SERVICES,,,2022
